,id,title,popularity,release_date
0,278,The Shawshank Redemption,174.522,1994-09-23
1,238,The Godfather,165.677,1972-03-14
2,240,The Godfather Part II,90.176,1974-12-20
3,424,Schindler's List,108.605,1993-12-15
4,389,12 Angry Men,64.609,1957-04-10
5,129,Spirited Away,115.254,2001-07-20
6,19404,Dilwale Dulhania Le Jayenge,47.936,1995-10-20
7,155,The Dark Knight,158.364,2008-07-16
8,496243,Parasite,96.463,2019-05-30
9,497,The Green Mile,135.171,1999-12-10
10,372058,Your Name.,98.355,2016-08-26
11,680,Pulp Fiction,96.758,1994-09-10
12,122,The Lord of the Rings: The Return of the King,182.6,2003-12-17
13,13,Forrest Gump,106.041,1994-06-23
14,769,GoodFellas,81.935,1990-09-12
15,667257,Impossible Things,21.285,2021-06-17
16,429,"The Good, the Bad and the Ugly",78.764,1966-12-22
17,346,Seven Samurai,48.313,1954-04-26
18,12477,Grave of the Fireflies,0.051,1988-04-16
19,11216,Cinema Paradiso,31.636,1988-11-17
20,637,Life Is Beautiful,47.916,1997-12-20
21,157336,Interstellar,197.569,2014-11-05
22,550,Fight Club,96.563,1999-10-15
23,1084736,The Count of Monte-Cristo,79.466,2024-06-28
24,539,Psycho,32.625,1960-06-22
25,598,City of God,77.03,2002-08-30
26,510,One Flew Over the Cuckoo's Nest,37.81,1975-11-19
27,696374,Gabriel's Inferno,13.877,2020-05-29
28,311,Once Upon a Time in America,42.85,1984-05-23
29,120,The Lord of the Rings: The Fellowship of the Ring,184.448,2001-12-18
30,372754,Dou kyu sei – Classmates,17.584,2016-02-20
31,4935,Howl's Moving Castle,72.272,2004-09-09
32,324857,Spider-Man: Into the Spider-Verse,100.347,2018-12-06
33,704264,Primal: Tales of Savagery,12.061,2019-11-21
34,40096,A Dog's Will,14.669,2000-09-15
35,121,The Lord of the Rings: The Two Towers,122.879,2002-12-18
36,14537,Harakiri,27.913,1962-09-15
37,724089,Gabriel's Inferno: Part II,8.735,2020-07-31
38,255709,Hope,22.967,2013-10-02
39,1891,The Empire Strikes Back,31.845,1980-05-20
40,1160164,TAYLOR SWIFT | THE ERAS TOUR,42.629,2023-10-13
41,761053,Gabriel's Inferno: Part III,21.39,2020-11-19
42,244786,Whiplash,70.715,2014-10-10
43,423,The Pianist,49.209,2002-09-17
44,1058694,Radical,35.316,2023-10-19
45,378064,A Silent Voice: The Movie,51.392,2016-09-17
46,620249,The Legend of Hei,11.344,2019-08-27
47,807,Se7en,66.131,1995-09-22
48,27205,Inception,83.939,2010-07-15
49,569094,Spider-Man: Across the Spider-Verse,201.063,2023-05-31
50,567,Rear Window,28.379,1954-08-01
51,568332,Taylor Swift: Reputation Stadium Tour,13.084,2018-12-31
52,274,The Silence of the Lambs,14.824,1991-02-14
53,73,American History X,38.267,1998-07-01
54,128,Princess Mononoke,52.634,1997-07-12
55,12493,High and Low,21.599,1963-03-01
56,1139087,Once Upon a Studio,35.691,2023-09-24
57,15804,A Brighter Summer Day,14.211,1991-07-27
58,820067,The Quintessential Quintuplets Movie,44.463,2022-05-20
59,92321,Hotarubi no Mori e,0.02,2011-09-17
60,105,Back to the Future,69.527,1985-07-03
61,207,Dead Poets Society,49.507,1989-06-02
62,10494,Perfect Blue,37.549,1998-02-28
63,644479,Dedicated to my ex,9.778,2019-11-01
64,914,The Great Dictator,26.569,1940-10-15
65,599,Sunset Boulevard,18.64,1950-08-10
66,101,Léon: The Professional,49.427,1994-09-14
67,18491,Neon Genesis Evangelion: The End of Evangelion,27.919,1997-07-19
68,3782,Ikiru,20.521,1952-10-09
69,3082,Modern Times,18.225,1936-02-05
70,335,Once Upon a Time in the West,46.719,1968-12-21
71,901,City Lights,15.466,1931-02-06
72,29259,Le Trou,21.366,1960-03-18
73,77338,The Intouchables,63.132,2011-11-02
74,1585,It's a Wonderful Life,43.359,1946-12-20
75,28,Apocalypse Now,53.016,1979-08-15
76,975,Paths of Glory,20.372,1957-10-25
77,533514,Violet Evergarden: The Movie,27.197,2020-09-18
78,637920,Miracle in Cell No. 7,31.334,2019-10-10
79,527641,Five Feet Apart,39.608,2019-03-14
80,527641,Five Feet Apart,39.608,2019-03-14
81,632632,Given,14.67,2020-08-22
82,283566,Evangelion: 3.0+1.0 Thrice Upon a Time,27.356,2021-03-08
83,25237,Come and See,26.96,1985-10-17
84,995133,"The Boy, the Mole, the Fox and the Horse",33.14,2022-12-25
85,630566,Clouds,14.055,2020-10-09
86,447362,Life in a Year,46.32,2020-11-27
87,8587,The Lion King,111.439,1994-06-24
88,652837,"Josee, the Tiger and the Fish",20.009,2020-12-25
89,670,Oldboy,48.734,2003-11-21
90,42269,We All Loved Each Other So Much,7.737,1974-12-21
91,299534,Avengers: Endgame,160.955,2019-04-24
92,299536,Avengers: Infinity War,329.374,2018-04-25
93,490132,Green Book,40.51,2018-11-16
94,508965,Klaus,22.335,2019-11-08
95,265177,Mommy,17.471,2014-09-19
96,572154,Rascal Does Not Dream of a Dreaming Girl,24.348,2019-06-15
97,618344,Justice League Dark: Apokolips War,24.721,2020-05-05
98,110420,Wolf Children,27.791,2012-07-21
99,504253,I Want to Eat Your Pancreas,46.098,2018-09-01
100,315162,Puss in Boots: The Last Wish,173.556,2022-12-07
101,441130,Wolfwalkers,29.933,2020-10-26
102,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,84.48,2020-10-16
103,290098,The Handmaiden,69.759,2016-06-01
104,16869,Inglourious Basterds,65.539,2009-08-02
105,857,Saving Private Ryan,57.017,1998-07-24
106,603,The Matrix,79.366,1999-03-31
107,24188,Il Sorpasso,10.54,1962-12-05
108,98,Gladiator,73.068,2000-05-04
109,694,The Shining,44.865,1980-05-23
110,354912,Coco,143.306,2017-10-27
111,50014,The Help,74.974,2011-08-09
112,361743,Top Gun: Maverick,135.551,2022-05-21
113,284,The Apartment,21.451,1960-06-21
114,37257,Witness for the Prosecution,28.078,1957-12-17
115,1124,The Prestige,45.157,2006-10-17
116,11,Star Wars,97.149,1977-05-25
117,522924,The Art of Racing in the Rain,24.43,2019-08-08
118,11324,Shutter Island,75.352,2010-02-14
119,654299,Out of the Clear Blue Sky,14.909,2019-12-24
120,324786,Hacksaw Ridge,135.05,2016-10-07
121,185,A Clockwork Orange,46.126,1971-12-19
122,610892,Violet Evergarden: Eternity and the Auto Memory Doll,16.728,2019-09-06
123,556574,Hamilton,18.717,2020-07-03
124,16672,Woman in the Dunes,21.204,1964-02-15
125,5156,Bicycle Thieves,18.7,1948-07-21
126,476292,Maquia: When the Promised Flower Blooms,29.289,2018-02-24
127,490,The Seventh Seal,19.171,1957-02-16
128,313106,Doctor Who: The Day of the Doctor,15.851,2013-11-23
129,629,The Usual Suspects,32.776,1995-07-19
130,797,Persona,18.703,1966-10-18
131,620683,My Mom Is a Character 3,14.035,2019-12-26
132,68718,Django Unchained,49.369,2012-12-25
133,77,Memento,29.422,2000-10-11
134,20334,The Shop Around the Corner,14.923,1940-01-12
135,10098,The Kid,16.188,1921-01-21
136,592350,My Hero Academia: Heroes Rising,44.261,2019-12-20
137,26451,Investigation of a Citizen Above Suspicion,14.289,1970-10-16
138,92060,Michael Jackson's Thriller,12.927,1983-11-14
139,537061,Steven Universe: The Movie,20.541,2019-10-07
140,20941,Innocent Voices,20.423,2005-01-28
141,18148,Tokyo Story,27.808,1953-11-03
142,810693,Jujutsu Kaisen 0,94.147,2021-12-24
143,426,Vertigo,31.384,1958-05-28
144,1422,The Departed,46.071,2006-10-04
145,111,Scarface,85.792,1983-12-09
146,693134,Dune: Part Two,216.776,2024-02-27
147,1026227,There's Still Tomorrow,38.958,2023-10-26
148,872,Singin' in the Rain,37.478,1952-04-09
149,851644,20th Century Girl,96.024,2022-10-06
150,81481,Silenced,32.506,2011-09-22
151,289,Casablanca,44.552,1943-01-15
152,489,Good Will Hunting,67.697,1997-12-05
153,475557,Joker,132.28,2019-10-01
154,422,8½,17.152,1963-02-14
155,606856,Togo,19.976,2019-12-20
